code_postal,ville,nb_immeubles_cibles,total_lots_cibles,score_moyen_cibles
75016,PARIS 16ÈME ARRONDISSEMENT,247,12519,0.67
75015,PARIS 15ÈME ARRONDISSEMENT,208,11274,0.71
21000,DIJON,273,9874,0.68
92100,BOULOGNE-BILLANCOURT,185,9663,0.71
34300,AGDE,106,8999,0.72
78150,LE CHESNAY-ROCQUENCOURT,16,8298,0.66
69100,VILLEURBANNE,179,8140,0.73
75020,PARIS 20ÈME ARRONDISSEMENT,130,7930,0.73
44000,NANTES,269,7850,0.71
63000,CLERMONT-FERRAND,237,7568,0.7
35000,RENNES,210,7465,0.72
54000,NANCY,191,7334,0.7
14000,CAEN,187,7170,0.71
67000,STRASBOURG,245,7090,0.69
51100,REIMS,252,6989,0.7
34090,MONTPELLIER,104,6860,0.72
92200,NEUILLY-SUR-SEINE,189,6832,0.69
31400,TOULOUSE,197,6732,0.72
44300,NANTES,164,6266,0.75
25000,BESANÇON,164,6232,0.72
64000,PAU,194,6052,0.69
34070,MONTPELLIER,108,5842,0.7
67100,STRASBOURG,224,5800,0.69
34000,MONTPELLIER,139,5771,0.73
13008,MARSEILLE - 8E ARRONDISSEMENT,110,5741,0.68
33000,BORDEAUX,225,5701,0.68
31200,TOULOUSE,122,5631,0.74
38100,GRENOBLE,143,5610,0.71
75014,PARIS 14ÈME ARRONDISSEMENT,101,5457,0.7
74000,ANNECY,150,4976,0.68
69007,LYON - 7E ARRONDISSEMENT,77,4862,0.7
29200,BREST,194,4855,0.67
59000,LILLE,150,4843,0.72
38000,GRENOBLE,146,4750,0.68
17000,LA ROCHELLE,129,4743,0.73
31000,TOULOUSE,184,4695,0.68
42100,SAINT-ÉTIENNE,154,4690,0.69
31300,TOULOUSE,93,4652,0.71
75013,PARIS 13ÈME ARRONDISSEMENT,81,4606,0.72
33700,MÉRIGNAC,42,4557,0.68
93400,SAINT-OUEN,83,4522,0.72
13090,AIX-EN-PROVENCE,84,4476,0.69
69003,LYON - 3E ARRONDISSEMENT,123,4406,0.7
13100,AIX-EN-PROVENCE,115,4389,0.66
76000,ROUEN,162,4380,0.68
83000,TOULON,146,4376,0.66
37000,TOURS,146,4315,0.67
44100,NANTES,136,4314,0.71
72000,LE MANS,105,4240,0.69
75019,PARIS 19ÈME ARRONDISSEMENT,70,4168,0.72
93100,MONTREUIL,125,4098,0.68
34280,LA GRANDE-MOTTE,42,4073,0.73
75017,PARIS 17ÈME ARRONDISSEMENT,100,4060,0.71
84000,AVIGNON,126,4052,0.65
75011,PARIS 11ÈME ARRONDISSEMENT,64,3929,0.69
78170,LA CELLE-SAINT-CLOUD,6,3849,0.69
73000,CHAMBÉRY,93,3783,0.71
59800,LILLE,123,3772,0.7
69008,LYON - 8E ARRONDISSEMENT,95,3739,0.69
75012,PARIS 12ÈME ARRONDISSEMENT,77,3720,0.73
76600,LE HAVRE,94,3705,0.71
74100,ANNEMASSE,71,3590,0.7
94200,IVRY-SUR-SEINE,55,3565,0.7
30240,LE GRAU-DU-ROI,58,3471,0.69
33800,BORDEAUX,66,3423,0.68
68100,MULHOUSE,96,3410,0.7
34080,MONTPELLIER,31,3397,0.71
31500,TOULOUSE,120,3377,0.72
26000,VALENCE,129,3318,0.69
67200,STRASBOURG,91,3258,0.72
92700,COLOMBES,84,3211,0.71
92400,COURBEVOIE,60,3195,0.72
68000,COLMAR,131,3153,0.7
69300,CALUIRE-ET-CUIRE,64,3151,0.72
33200,BORDEAUX,87,3133,0.71
44500,LA BAULE-ESCOUBLAC,109,3132,0.73
92800,PUTEAUX,40,3036,0.74
66000,PERPIGNAN,144,3024,0.7
93500,PANTIN,56,3023,0.69
86000,POITIERS,87,2936,0.71
14640,VILLERS-SUR-MER,28,2927,0.72
92130,ISSY-LES-MOULINEAUX,67,2913,0.72
75018,PARIS 18ÈME ARRONDISSEMENT,62,2860,0.71
94100,SAINT-MAUR-DES-FOSSÉS,112,2843,0.73
83200,TOULON,79,2827,0.7
44200,NANTES,52,2824,0.7
87000,LIMOGES,84,2809,0.71
38130,ÉCHIROLLES,41,2791,0.77
42000,SAINT-ÉTIENNE,126,2765,0.66
34200,SČTE,75,2762,0.73
13005,MARSEILLE - 5E ARRONDISSEMENT,73,2758,0.7
97490,SAINT-DENIS,39,2758,0.7
33400,TALENCE,54,2752,0.71
57000,METZ,115,2749,0.69
93160,NOISY-LE-GRAND,61,2728,0.74
80000,AMIENS,80,2725,0.68
30000,NÎMES,84,2698,0.69
10000,TROYES,84,2654,0.71
83400,HYČRES,74,2642,0.7
11100,NARBONNE,84,2641,0.73
83500,LA SEYNE-SUR-MER,85,2625,0.68
64600,ANGLET,71,2608,0.71
31100,TOULOUSE,46,2594,0.72
13009,MARSEILLE - 9E ARRONDISSEMENT,37,2576,0.73
11430,GRUISSAN,21,2560,0.72
13013,MARSEILLE - 13E ARRONDISSEMENT,35,2547,0.69
93300,AUBERVILLIERS,39,2527,0.72
56100,LORIENT,119,2510,0.68
45000,ORLÉANS,118,2491,0.69
92600,ASNIÈRES-SUR-SEINE,94,2484,0.71
13400,AUBAGNE,29,2468,0.71
63100,CLERMONT-FERRAND,70,2435,0.71
12000,RODEZ,123,2409,0.71
64200,BIARRITZ,117,2403,0.7
33120,ARCACHON,90,2383,0.72
69500,BRON,44,2380,0.71
69120,VAULX-EN-VELIN,32,2372,0.72
18000,BOURGES,91,2355,0.69
56000,VANNES,65,2354,0.72
92120,MONTROUGE,47,2325,0.71
14390,CABOURG,37,2322,0.73
93200,SAINT-DENIS,52,2320,0.69
93230,ROMAINVILLE,44,2312,0.68
69200,VÉNISSIEUX,51,2303,0.72
38400,SAINT-MARTIN-D'HČRES,52,2272,0.72
94130,NOGENT-SUR-MARNE,60,2255,0.73
13012,MARSEILLE - 12E ARRONDISSEMENT,43,2245,0.7
44600,SAINT-NAZAIRE,97,2245,0.67
83140,SIX-FOURS-LES-PLAGES,86,2243,0.67
14800,DEAUVILLE,49,2229,0.73
94220,CHARENTON-LE-PONT,39,2224,0.73
85100,LES SABLES-D'OLONNE,99,2221,0.71
49000,ANGERS,44,2220,0.72
73100,AIX-LES-BAINS,75,2185,0.7
30900,NÎMES,51,2182,0.74
85000,LA ROCHE-SUR-YON,64,2173,0.7
76100,ROUEN,56,2173,0.75
74200,THONON-LES-BAINS,79,2163,0.66
74940,ANNECY,52,2133,0.69
92300,LEVALLOIS-PERRET,44,2127,0.71
64100,BAYONNE,64,2119,0.73
83700,SAINT-RAPHAËL,66,2118,0.71
78000,VERSAILLES,85,2113,0.7
94700,MAISONS-ALFORT,51,2100,0.74
33300,BORDEAUX,39,2072,0.73
92160,ANTONY,39,2054,0.7
94800,VILLEJUIF,43,2050,0.72
57050,METZ,31,2039,0.69
78250,MEULAN-EN-YVELINES,6,2038,0.72
83600,FRÉJUS,50,2032,0.7
49100,ANGERS,72,2021,0.69
94300,VINCENNES,68,2014,0.72
92500,RUEIL-MALMAISON,60,2008,0.72
78370,PLAISIR,18,1990,0.84
97400,SAINT-DENIS,53,1942,0.72
29000,QUIMPER,71,1938,0.66
62520,LE TOUQUET-PARIS-PLAGE,53,1934,0.73
35200,RENNES,37,1926,0.7
92110,CLICHY,35,1893,0.75
92340,BOURG-LA-REINE,44,1882,0.71
37100,TOURS,40,1873,0.73
94170,LE PERREUX-SUR-MARNE,52,1861,0.77
69009,LYON - 9E ARRONDISSEMENT,37,1833,0.69
13010,MARSEILLE - 10E ARRONDISSEMENT,37,1785,0.7
94500,CHAMPIGNY-SUR-MARNE,53,1783,0.7
92220,BAGNEUX,21,1780,0.73
65000,TARBES,68,1771,0.7
92290,CHÂTENAY-MALABRY,27,1756,0.75
34500,BÉZIERS,73,1734,0.69
13015,MARSEILLE - 15E ARRONDISSEMENT,21,1727,0.65
90000,BELFORT,95,1706,0.71
59200,TOURCOING,42,1705,0.75
92210,SAINT-CLOUD,41,1694,0.7
92000,NANTERRE,50,1691,0.71
94350,VILLIERS-SUR-MARNE,33,1689,0.7
57100,THIONVILLE,54,1668,0.72
69004,LYON - 4E ARRONDISSEMENT,42,1652,0.66
85270,SAINT-HILAIRE-DE-RIEZ,24,1632,0.71
35700,RENNES,50,1629,0.68
13003,MARSEILLE - 3E ARRONDISSEMENT,30,1622,0.7
78100,SAINT-GERMAIN-EN-LAYE,40,1606,0.71
92190,MEUDON,45,1596,0.72
38240,MEYLAN,19,1581,0.67
77000,MELUN,53,1566,0.7
74170,SAINT-GERVAIS-LES-BAINS,41,1565,0.65
73200,ALBERTVILLE,42,1558,0.7
91000,ÉVRY-COURCOURONNES,20,1556,0.73
77100,MEAUX,38,1543,0.71
69006,LYON - 6E ARRONDISSEMENT,56,1539,0.66
74400,CHAMONIX-MONT-BLANC,48,1539,0.7
26200,MONTÉLIMAR,52,1537,0.69
83980,LE LAVANDOU,32,1529,0.65
94600,CHOISY-LE-ROI,24,1517,0.72
33130,BČGLES,22,1512,0.74
83100,TOULON,38,1497,0.67
22000,SAINT-BRIEUC,61,1497,0.69
64700,HENDAYE,59,1494,0.69
93140,BONDY,38,1488,0.73
75008,PARIS 8ÈME ARRONDISSEMENT,39,1484,0.62
69002,LYON - 2E ARRONDISSEMENT,26,1476,0.67
69150,DÉCINES-CHARPIEU,24,1459,0.72
68200,MULHOUSE,42,1447,0.7
91300,MASSY,19,1444,0.71
66140,CANET-EN-ROUSSILLON,38,1444,0.75
92260,FONTENAY-AUX-ROSES,37,1438,0.76
93170,BAGNOLET,30,1436,0.73
44400,REZÉ,28,1436,0.66
77500,CHELLES,29,1433,0.69
42300,ROANNE,72,1424,0.69
94120,FONTENAY-SOUS-BOIS,57,1411,0.75
83150,BANDOL,44,1405,0.69
92410,VILLE-D'AVRAY,22,1398,0.74
95000,CERGY,16,1394,0.74
91100,CORBEIL-ESSONNES,52,1375,0.7
15000,AURILLAC,67,1369,0.7
94000,CRÉTEIL,27,1368,0.73
35400,SAINT-MALO,66,1360,0.7
57070,METZ,41,1359,0.7
71100,CHALON-SUR-SAÔNE,48,1358,0.67
13011,MARSEILLE - 11E ARRONDISSEMENT,27,1355,0.7
13006,MARSEILLE - 6E ARRONDISSEMENT,49,1352,0.66
60200,COMPIČGNE,37,1351,0.7
19100,BRIVE-LA-GAILLARDE,77,1346,0.71
78210,SAINT-CYR-L'ÉCOLE,13,1345,0.81
44380,PORNICHET,41,1344,0.75
69400,VILLEFRANCHE-SUR-SAÔNE,38,1332,0.72
82000,MONTAUBAN,45,1324,0.73
63400,CHAMALIČRES,53,1314,0.67
75005,PARIS 5ÈME ARRONDISSEMENT,35,1309,0.7
92350,LE PLESSIS-ROBINSON,14,1308,0.76
37300,JOUÉ-LČS-TOURS,17,1307,0.73
66420,LE BARCARČS,13,1302,0.72
92170,VANVES,35,1294,0.72
69005,LYON - 5E ARRONDISSEMENT,34,1294,0.74
14470,COURSEULLES-SUR-MER,13,1290,0.72
95870,BEZONS,26,1285,0.74
59650,VILLENEUVE-D'ASCQ,16,1285,0.75
62600,BERCK,56,1282,0.7
26100,ROMANS-SUR-ISČRE,51,1281,0.68
14360,TROUVILLE-SUR-MER,31,1276,0.69
38500,VOIRON,34,1275,0.71
78480,VERNEUIL-SUR-SEINE,3,1271,0.66
13300,SALON-DE-PROVENCE,36,1266,0.7
75007,PARIS 7ÈME ARRONDISSEMENT,51,1266,0.65
93190,LIVRY-GARGAN,38,1265,0.73
83110,SANARY-SUR-MER,57,1261,0.71
38600,FONTAINE,39,1260,0.7
75116,PARIS 16ÈME ARRONDISSEMENT,27,1258,0.67
83230,BORMES-LES-MIMOSAS,17,1245,0.7
92230,GENNEVILLIERS,24,1243,0.71
74240,GAILLARD,26,1242,0.65
83240,CAVALAIRE-SUR-MER,19,1236,0.75
44800,SAINT-HERBLAIN,20,1233,0.76
74150,RUMILLY,35,1232,0.72
92320,CHÂTILLON,19,1228,0.67
34250,PALAVAS-LES-FLOTS,47,1222,0.72
83300,DRAGUIGNAN,26,1222,0.69
28000,CHARTRES,37,1219,0.7
47000,AGEN,52,1213,0.71
34130,MAUGUIO,21,1212,0.73
64500,SAINT-JEAN-DE-LUZ,64,1212,0.71
17200,ROYAN,48,1206,0.7
13002,MARSEILLE - 2E ARRONDISSEMENT,14,1202,0.68
75010,PARIS 10ÈME ARRONDISSEMENT,23,1200,0.7
44700,ORVAULT,7,1200,0.78
69800,SAINT-PRIEST,23,1198,0.73
13014,MARSEILLE - 14E ARRONDISSEMENT,20,1197,0.7
66120,FONT-ROMEU-ODEILLO-VIA,34,1196,0.71
93150,LE BLANC-MESNIL,18,1194,0.72
40100,DAX,39,1187,0.71
43000,LE PUY-EN-VELAY,48,1185,0.71
93800,ÉPINAY-SUR-SEINE,22,1184,0.74
13004,MARSEILLE - 4E ARRONDISSEMENT,43,1183,0.69
40130,CAPBRETON,30,1175,0.69
92330,SCEAUX,35,1174,0.74
93700,DRANCY,36,1166,0.67
67500,HAGUENAU,57,1166,0.71
74160,SAINT-JULIEN-EN-GENEVOIS,19,1166,0.67
78400,CHATOU,30,1162,0.71
38800,LE PONT-DE-CLAIX,14,1154,0.69
83120,SAINTE-MAXIME,32,1152,0.74
95800,CERGY,18,1143,0.77
87100,LIMOGES,30,1143,0.65
53000,LAVAL,42,1142,0.68
94240,L'HA˙-LES-ROSES,11,1136,0.66
91380,CHILLY-MAZARIN,9,1126,0.74
74700,SALLANCHES,28,1121,0.7
41000,BLOIS,38,1102,0.7
67400,ILLKIRCH-GRAFFENSTADEN,43,1098,0.69
74450,LE GRAND-BORNAND,35,1096,0.64
13007,MARSEILLE - 7E ARRONDISSEMENT,44,1082,0.68
94360,BRY-SUR-MARNE,26,1077,0.7
67300,SCHILTIGHEIM,59,1077,0.69
