code_postal,ville,adresse,lat,long,lots_habitation,score_immeuble
78150,Le Chesnay,2 av charles de gaulle 78150 Le Chesnay,48.829439,2.115971,7527,0.83
78250,Meulan-en-Yvelines,22 all de la claire fontaine 78250 Meulan-en-Yvelines,49.01138,1.915183,2000,0.57
78170,La Celle-Saint-Cloud,18 Avenue de la Jonchere 78170 La Celle-Saint-Cloud,48.859322,2.147951,1481,0.82
76600,Le Havre,12 r frederick lemaitre 76600 Le Havre,49.489789,0.098315,1072,0.88
34080,Montpellier,949 av du professeur louis ravas 34080 Montpellier,43.620641,3.845386,918,0.75
69100,VILLEURBANNE,"r du 1er mars 1943, 69100 Villeurbanne",45.763288,4.891044,864,0.71
78370,Plaisir,Rue des Ebisoires 78370 Plaisir,48.828957,1.950512,854,0.87
34090,Montpellier,250 rte de mende 34090 Montpellier,43.624512,3.873658,853,0.89
92160,Antony,24 Avenue Raymond Aron 92160 Antony,48.770581,2.312343,804,0.56
31200,Toulouse,31 av de mazades 31200 Toulouse,43.623309,1.441719,789,0.5
78480,Verneuil-sur-Seine,1 Allée de la Garenne 78480 Verneuil-sur-Seine,48.983876,1.966825,775,0.82
13008,Marseille,122 r du commandant rolland 13008 Marseille,43.269221,5.380493,775,0.86
78210,Saint-Cyr-l'École,1 r robert desnos 78210 Saint-Cyr-l'École,48.808186,2.058311,763,0.56
75014,Paris,4 r du commandant rene mouchotte 75014 Paris,48.839987,2.321579,749,0.7
13015,MARSEILLE 15,QUARTIER LA DELORME 13015 MARSEILLE,43.346592,5.374394,732,0.73
75016,PARIS,15 bd de montmorency 75016 PARIS,48.854631,2.263593,719,0.76
94700,MAISONS ALFORT,DOMAINE DE CHATEAU GAILLARD 94700 MAISONS ALFORT,48.813932,2.436259,705,0.73
94600,Choisy-le-Roi,4-6 av anatole france 94600 Choisy-le-Roi,48.765076,2.409485,697,0.61
33700,MERIGNAC,RUE DES CEPAGES 33700,44.851835,-0.653071,693,0.73
14640,VILLERS SUR MER,321 Rue des Martrois 14640 Villers-sur-Mer,49.328045,0.00928,680,0.9
92130,Issy les Moulineaux,10 rue Claude Matrat 92130 Issy les Moulineaux,48.828907,2.285463,624,0.87
75016,Paris,14 Rue des Sablons 75016 Paris,48.866029,2.283607,612,0.54
13400,Aubagne,195 av du 19 mars 1962 13400 Aubagne,43.288441,5.571047,603,0.83
33700,MERIGNAC,4 Rue Marc Chagall 33700 Mérignac,44.839114,-0.648614,592,0.62
92100,BOULOGNE BILLANCOURT,143-149 r de silly 92100 BOULOGNE BILLANCOURT,48.833064,2.233609,570,0.69
33130,Bègles,43Ar ferdinand buisson 33130 Bègles,44.803876,-0.558356,570,0.54
44700,ORVAULT,95 r de la patouillerie 44700 ORVAULT,47.246153,-1.579778,560,0.86
92100,Boulogne-Billancourt,72 Rue Denfert-Rochereau 92100 Boulogne-Billancourt,48.842308,2.246627,547,0.61
57050,Metz,140 av des 2 fontaines 57050 Metz,49.147207,6.171507,539,0.56
59170,non connu,RUE ISAAC HOLDEN CROTHERS 59170 CROIX,50.6694400131932,3.15016337055717,533,0.85
95600,EAUBONNE,66 Avenue de Paris 95600 Eaubonne,48.991236,2.287978,530,0.87
73000,Jacob-Bellecombette,2 r edouard pailleron 73000 Jacob-Bellecombette,45.556806,5.904052,528,0.73
14640,VILLERS SUR MER,"av des gabions, 14640 Villers-sur-Mer",49.323884,0.011072,520,0.83
54000,NANCY,49 Rue de Laxou 54000 Nancy,48.685119,6.16,514,0.85
13090,AIX EN PROVENCE,31 Avenue de l'Europe 13090 Aix-en-Provence,43.524065,5.432352,507,0.75
92110,Clichy,9/19 r pierre beregovoy 92110 Clichy,48.903067,2.297212,504,0.88
75020,PARIS,2 Rue Ernest Lefèvre 75020 Paris,48.868564,2.403758,502,0.58
14390,CABOURG,"av de la divette, 14390 Cabourg",49.283313,-0.12231,498,0.88
38100,Grenoble,2 av rhin et danube 38100 Grenoble,45.179498,5.70497,495,0.82
93160,NOISY LE GRAND,"Alleé du cormier, rue charles pranard, rue albert laurençon, Allée MAurice Fremineur, Ave Lucien Loyauté 93160 Noisy le grand",48.847618,2.573833,483,0.74
59800,non connu,AVENUE DE MORMAL 59800 LILLE,50.6517238275299,3.08625716821886,482,0.87
92800,Puteaux,9 jard boieldieu 92800 Puteaux,48.88798,2.239144,479,0.83
31520,RAMONVILLE ST AGNE,5 Avenue d’Occitanie 31520 Ramonville-Saint-Agne,43.545863,1.478808,477,0.88
95130,FRANCONVILLE,9 Rue des Closeaux 95130 Franconville,48.987108,2.228038,469,0.9
91380,CHILLY MAZARIN,7 av du roussillon 91380 CHILLY MAZARIN,48.6912,2.312273,468,0.61
83990,Saint-Tropez,41 av general leclerc 83990 Saint-Tropez,43.26821,6.633231,455,0.62
75016,PARIS,144 Boulevard Suchet 75016 Paris,48.848841,2.259102,454,0.52
74430,Saint-Jean-d'Aulps,168 rte de la telecabine 74430 Saint-Jean-d'Aulps,46.226026,6.643051,445,0.69
75018,Paris,136 Rue Championnet 75018 Paris,48.895319,2.337268,445,0.76
42390,Villars,la Feuilletière 42390 Villars,45.468689,4.36243,438,0.61
75011,PARIS,79 Boulevard Richard Lenoir 75011 PARIS,48.861134,2.372133,437,0.76
95520,Osny,Val de la Raviniere 95520 Osny,49.059114,2.066031,430,0.78
38180,Seyssins,45 av louis armand 38180 Seyssins,45.16618,5.694272,429,0.51
