nom_syndic,nb_immeubles_cibles,total_places_parking
LAMY ,2309,130796
SOCIETE D ETUDES ET DE REALISATION DE GESTION IMMOBILIERE DE CONSTRUCTION ,359,26362
FONCIA ALSACE ,302,10444
PICHET IMMOBILIER SERVICES ,277,20258
FONCIA LACOMBE VAUCELLES ,261,18409
FONCIA TOULON ,241,14253
CABINET LOISELET PERE FILS ET DAIGREMONT ,235,22797
FONCIA NORMANDIE ,226,13671
FONCIA MARNE LA VALLEE ,223,15480
CABINET THIERRY ,206,12602
FONCIA MONTPELLIER ,184,13757
FONCIA TOULOUSE ,181,11694
FONCIA LYON ,179,9555
KEREDES GESTION IMMOBILIERE ,177,7169
SQHPB ,175,9490
FONCIA MANSART ,171,13018
FONCIA GRAND BLEU ,171,11391
MATERA ,169,8577
AGENCE STRASBOURG IMMOBILIERE ,166,13638
FONCIA HAUTS DE FRANCE ,159,9192
INOVA ,159,6475
FONCIA PYRENEES GASCOGNE ,157,6393
SQUARE HABITAT NORD DE FRANCE ,155,7179
FONCIA ARMOR ,152,6387
FONCIA MORBIHAN ,148,7034
DLJ GESTION ,146,6651
ADL IMMOBILIER ,144,9999
SAS SQUARE HABITAT CREDIT AGRICOLE TOURAINE POITOU ,143,7036
IMMO DE FRANCE OUEST ,141,5546
FONCIA LCA ,136,5594
DOMEOS ,134,6892
ELYADE SERVICES IMMOBILIERS ,128,7496
IMMO DE FRANCE PARIS ILE DE FRANCE ,127,14852
CABINET JEAN MICHEL LEFEUVRE ,123,7523
IMMO DE FRANCE FOREZ VELAY ,122,4889
APROGIM ,120,4886
AGENCE LESPARRE IMMOBILIER ,119,5541
FONCIA LOIRE ATLANTIQUE ,118,4888
ABP ,116,8628
CAP IMMO SUD ,108,6891
HEMON-CAMUS ,107,4165
FONCIA BORDEAUX ,104,6347
PATRIMOINE IMMOBILIER COPROPRIETE ,104,7126
FONCIA TERRE OCCITANE ,103,6933
FONCIA ROUSSILLON ,103,5671
FONCIA FABRE GIBERT ,102,5986
CISN SERVICES ,98,3044
CALOT ET ASSOCIES ,96,6011
OPS 77 ,94,7585
FONCIA VBDS ,92,5918
IMMO DE FRANCE RHONE ALPES ,91,5323
SQUARE HABITAT CREDIT AGRICOLE CENTRE FRANCE ,91,4590
A2BCD ,91,6924
LOCATION GESTION DE LA REUNION ,90,4133
IMMO DE FRANCE HAUTS DE FRANCE ,90,6022
IMMOBILIERE PUJOL ,88,8688
FONCIA RIVES DE GARONNE ,88,3898
AGENCE J. GAUTER ET COMPAGNIE ,87,4899
FONCIA SAINT LOUIS ,85,4143
ACCORD IMMOBILIER ,85,5102
JEAN CHARPENTIER-SOPAGI SA ,85,4294
SOCIETE NATIONALE DE GESTION ,84,5287
FONCIA LEMANIQUE ,83,5073
FDI SERVICES IMMOBILIERS ,83,6812
SGIBC ,82,4475
CABINET GINET SA ,81,4558
THIERRY IMMOBILIER ATLANTIQUE ,81,3844
FONCIERE ET IMMOBILIERE DE PARIS ,80,7399
BESOINS ET SERVICES GESTION IMMOBILIERE ,79,6428
GESTION ET PATRIMOINE LESCUYER ,78,5381
FONCIA BREIZH ,78,3199
CABINET HEURTIER ,77,3859
QUADRAL IMMOBILIER ,77,3110
FONCIA VALLEE DU RHONE ,76,3894
ALTAREA GESTION IMMOBILIERE ,75,6484
SYNDIC DU PIEMONT ,75,2856
FONCIA TERRES DE PROVENCE ,75,4503
L'IMMOBILIERE DE TOULOUSE ,74,5953
FONCIA CHARENTE MARITIME ,74,3212
SA LP GESTION ,74,4255
PG IMMO ,73,3854
AGENCE IMMOBILIERE CHRISTOPHE MARTINO ,73,1815
LOGESYC ,72,4605
AGENCE CENTRALE ,72,3182
SEVIGNE IMMOBILIER ,72,2926
REGIE MIALON ,72,3664
FONCIA MONT BLANC ,69,2840
CIE ALPINE DE PROMOTION IMMOBILIER ,69,4451
FONCIA ALPES DAUPHINE ,69,3433
PEAK DEVELOPPEMENT ,69,4150
FONCIA LOIRE AUVERGNE ,68,2813
AGENCE PARIS EST ,68,1977
NOVILIS IMMOBILIER ,68,3192
